Province,Farm_ID,c1_Soil_pH,c2_CaCO3,c3_OM,c4_K2O,c5_Sand,c6_Clay,c7_Nitrogen,c8_Phosphorous,c9_Potassium,c10_SowingRate,Y_GrainYield
Province_01,Farm_1,6.32,20.94,3.46,129.87,,38.4,21.47,5.19,18.44,269.61,4543.09
Province_01,Farm_2,6.78,,1.46,283.42,74.16,46.44,44.1,9.83,4.31,,3936.72
Province_01,Farm_3,,18.92,3.36,229.7,69.6,,4.47,42.46,1.9,201.42,4029.15
Province_01,Farm_4,8.02,7.49,0.57,371.72,74.77,16.94,17.3,40.53,19.04,168.46,2739.18
Province_01,Farm_5,6.29,9.67,1.09,359.16,78.29,47.15,37.43,,2.33,240.28,3255.23
Province_01,Farm_6,6.72,26.2,,308.6,74.56,37.06,25.02,5.46,6.56,269.85,4502.38
Province_01,Farm_7,7.41,17.11,1.26,,48.42,37.28,45.5,3.67,11.04,146.8,3560.73
Province_01,Farm_8,6.63,29.63,2.53,265.03,21.11,,4.94,48.71,16.33,168.38,3217.89
Province_01,Farm_9,8.4,16.35,1.64,,74.63,49.77,10.3,46.38,,,3987.74
Province_01,Farm_10,7.78,0.59,3.59,396.9,35.43,15.72,,10.98,14.6,223.43,3370.55
Province_01,Farm_11,7.81,18.02,1.22,116.49,51.04,10.45,24.72,21.29,11.36,256.36,4623.04
Province_01,Farm_12,8.1,6.01,1.23,,48.45,41.27,25.52,7.0,16.68,190.29,4091.68
Province_01,Farm_13,6.29,5.94,3.36,311.12,79.08,14.94,47.48,,4.4,208.92,3825.29
Province_01,Farm_14,,8.92,3.07,230.51,61.46,44.27,34.52,14.08,9.36,194.23,4407.3
Province_01,Farm_15,7.01,1.47,3.05,262.86,22.02,,6.76,1.54,24.17,275.43,4101.72
Province_01,Farm_16,7.0,17.83,3.65,321.96,44.75,33.37,18.29,,4.26,,3641.82
Province_01,Farm_17,,2.13,3.96,343.79,45.25,47.48,20.94,40.65,17.56,166.26,3834.56
Province_01,Farm_18,7.56,9.42,1.57,119.31,43.31,15.27,19.95,27.9,20.69,126.0,3433.59
Province_01,Farm_19,7.7,24.14,0.77,374.83,,15.57,13.56,,18.31,274.21,4240.78
Province_01,Farm_20,6.09,2.38,3.56,100.63,53.63,19.42,44.67,12.79,5.64,143.58,3884.2
Province_01,Farm_21,,13.68,1.88,300.76,78.85,46.63,,10.98,18.94,269.57,3316.35
Province_01,Farm_22,6.65,19.72,1.36,310.78,44.51,,2.17,39.17,1.67,,4418.13
Province_01,Farm_23,7.31,23.94,2.14,235.73,77.05,29.3,4.8,26.26,14.84,205.71,3713.46
Province_01,Farm_24,,15.7,2.54,266.07,60.11,14.66,39.87,32.16,,187.91,3957.03
Province_01,Farm_25,7.49,23.61,,173.56,39.28,38.71,34.08,21.24,,232.93,3144.98
Province_01,Farm_26,,3.54,1.0,139.72,61.31,28.32,11.51,,4.25,111.13,2579.14
Province_01,Farm_27,6.09,28.48,0.67,263.0,22.9,31.33,16.31,20.57,21.3,122.41,3645.07
Province_01,Farm_28,7.08,25.64,3.63,149.57,60.08,27.01,29.83,,20.17,,2796.53
Province_01,Farm_29,6.91,,0.81,,55.9,37.88,1.72,11.54,6.43,197.55,3289.11
Province_01,Farm_30,6.3,13.26,2.33,281.6,67.88,,14.16,24.08,13.08,241.81,3305.09
Province_01,Farm_31,7.49,23.64,2.04,291.05,77.91,21.47,41.55,35.84,20.79,136.93,4238.3
Province_01,Farm_32,8.23,2.8,1.95,,37.22,31.66,33.33,34.36,1.93,259.28,3906.86
Province_02,Farm_1,7.87,29.58,3.16,317.8,27.33,37.24,48.52,23.87,6.01,294.45,4447.14
Province_02,Farm_2,7.3,11.41,2.94,194.02,,39.86,39.91,22.01,10.88,254.16,3846.69
Province_02,Farm_3,,9.35,1.95,171.1,40.45,46.33,,15.67,18.02,201.62,3553.56
Province_02,Farm_4,6.88,20.89,2.8,388.63,77.83,40.43,29.27,48.46,8.11,241.19,4002.03
Province_02,Farm_5,6.18,29.04,3.21,91.37,68.62,25.16,12.72,44.87,9.31,220.37,3767.61
Province_02,Farm_6,6.55,21.47,1.63,88.43,49.03,17.37,38.93,46.6,5.6,236.52,3523.5
Province_02,Farm_7,7.2,24.94,1.0,120.88,42.96,38.69,7.34,32.43,14.27,263.46,4599.23
Province_02,Farm_8,7.87,11.13,1.89,243.22,62.33,29.88,41.86,13.53,,247.31,3983.85
Province_02,Farm_9,7.06,7.06,3.61,89.31,54.32,14.68,8.07,,19.9,156.46,4221.43
Province_02,Farm_10,6.61,28.63,3.5,65.86,74.9,41.67,21.55,17.56,8.51,178.5,4526.38
Province_02,Farm_11,6.38,11.47,,277.48,78.31,11.01,,20.13,3.48,171.88,3422.9
Province_02,Farm_12,8.17,4.71,2.88,303.43,68.07,19.99,6.48,18.5,13.15,162.13,2964.3
